"territory","id_indicator","period","territory.ccube.0","territory.ccube.1","territory.ccube.2","territory.ccube.attr.0","value"
"14000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Белгородская область","3","1610"
"14000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Белгородская область","3","1767"
"14000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Белгородская область","3","1925"
"14000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Белгородская область","3","1640"
"14000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Белгородская область","3","1613"
"15000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Брянская область","3","1481"
"15000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Брянская область","3","1621"
"15000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Брянская область","3","1505"
"15000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Брянская область","3","1454"
"15000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Брянская область","3","1347"
"17000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Владимирская область","3","1840"
"17000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Владимирская область","3","1931"
"17000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Владимирская область","3","1784"
"17000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Владимирская область","3","1758"
"17000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Владимирская область","3","1746"
"20000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Воронежская область","3","2621"
"20000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Воронежская область","3","2893"
"20000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Воронежская область","3","2812"
"20000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Воронежская область","3","2668"
"20000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Воронежская область","3","2586"
"24000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Ивановская область","3","1244"
"24000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Ивановская область","3","1361"
"24000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Ивановская область","3","1319"
"24000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Ивановская область","3","1353"
"24000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Ивановская область","3","1176"
"29000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Калужская область","3","1138"
"29000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Калужская область","3","1301"
"29000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Калужская область","3","1232"
"29000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Калужская область","3","1235"
"29000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Калужская область","3","1187"
"34000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Костромская область","3","764"
"34000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Костромская область","3","843"
"34000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Костромская область","3","781"
"34000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Костромская область","3","749"
"34000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Костромская область","3","754"
"38000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Курская область","3","1354"
"38000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Курская область","3","1506"
"38000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Курская область","3","1451"
"38000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Курская область","3","1341"
"38000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Курская область","3","1272"
"42000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Липецкая область","3","1288"
"42000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Липецкая область","3","1413"
"42000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Липецкая область","3","1424"
"42000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Липецкая область","3","1308"
"42000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Липецкая область","3","1263"
"46000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Московская область","3","7155"
